English,Shakespearean
"Traveling from Sardis , two mighty eagles fell on our front flag and perched there , eating from the hands of the soldiers who'd accompanied us to Philippi .","Coming from Sardis , on our former ensign Two mighty eagles fell , and there they perched , Gorging and feeding from our soldiers ' hands , Who to Philippi here consorted us ."
"This morning , they've flown away and in their place are ravens , crows , and kites , flying over our heads and looking down on us , as though we were sickly prey .","This morning are they fled away and gone , And in their steads do ravens , crows , and kites Fly o'er our heads and downward look on us As we were sickly prey ."
"Their shadows are like a deadly canopy , under which our army lies , ready to die .","Their shadows seem A canopy most fatal , under which Our army lies , ready to give up the ghost ."
Don't believe in this .,Believe not so .
"I only partly believe it , for I'm enthusiastic and resolved to meet all dangers without wavering .","I but believe it partly , For I am fresh of spirit and resolved To meet all perils very constantly ."
"Now , most noble Brutus , the gods are friendly with us today so that we , who want peace , can live on to old age !","Now , most noble Brutus , The gods today stand friendly that we may , Lovers in peace , lead on our days to age ."
"But since the affairs of men are always uncertain , let's think about the worst that may happen .","But since the affairs of men rest still incertain , Let's reason with the worst that may befall ."
"If we lose this battle , this is the last time we'll speak to each other .","If we do lose this battle , then is this The very last time we shall speak together ."
"If we lose , what do you plan to do ?",What are you then determined to do ?
"Cast spells with them , and ""Brutus"" will call up a ghost as well as ""Caesar."" Now , in the name of all the gods , I ask you what food does Caesar eat that has made him grow so great ?","Brutus"" will start a spirit as soon as ""Caesar."" Now in the names of all the gods at once , Upon what meat doth this our Caesar feed That he is grown so great ?"
Our era should be ashamed !,"Age , thou art shamed !"
Rome has lost the ability to raise noble men !,"Rome , thou hast lost the breed of noble bloods !"
"When was there ever an age , since the beginning of time , that didn't feature more than one famous man ?","When went there by an age , since the great flood , But it was famed with more than with one man ?"
"Until now , no one could say that only one man mattered in all of vast Rome .","When could they say till now , that talked of Rome , That her wide walks encompassed but one man ?"
"Now , though , in all of Rome , there's room for only one man .","Now is it Rome indeed , and room enough , When there is in it but one only man ."
"You and I have heard our fathers talk of another Brutus , your ancestor , who would've let the devil himself reign in his Roman Republic before he let a king rule .","Oh , you and I have heard our fathers say , There was a Brutus once that would have brooked Th ' eternal devil to keep his state in Rome As easily as a king ."
I have no doubt that you love me .,"That you do love me , I am nothing jealous ."
I'm beginning to understand what you want me to do .,"What you would work me to , I have some aim ."
"What I think about this , and about what's happening here in Rome , I'll tell you later .",How I have thought of this and of these times I shall recount hereafter .
"For now , don't try to persuade me anymore , I ask you as a friend .","For this present , I would not , so with love I might entreat you , Be any further moved ."
"I'll think over what you've said , I'll listen patiently to whatever else you have to say , and I'll find a good time for us to discuss further such weighty matters .","What you have said I will consider , what you have to say I will with patience hear , and find a time Both meet to hear and answer such high things ."
"Until then , my noble friend , think about this : I'd rather be a poor villager than call myself a citizen of Rome under the hard conditions that this time is likely to put us through .","Till then , my noble friend , chew upon this : Brutus had rather be a villager Than to repute himself a son of Rome Under these hard conditions as this time Is like to lay upon us ."
I'm glad that my weak words have provoked even this small show of protest from you .,I am glad that my weak words Have struck but thus much show of fire from Brutus .
"Then if we lose this battle , you'll be willing to be led in chains through the streets of Rome ?",Then if we lose this battle You are contented to be led in triumph Thorough the streets of Rome ?
"No , Cassius , no .","No , Cassius , no ."
Don't imagine that I'll ever allow myself to return to Rome in chains .,"Think not , thou noble Roman , That ever Brutus will go bound to Rome ."
My mind is too great for that .,He bears too great a mind .
"Therefore , accept my everlasting farewell .",Therefore our everlasting farewell take .
"Forever and forever , farewell , Cassius !","Forever and forever farewell , Cassius ."
"If we meet again , then we'll smile .","If we do meet again , why , we shall smile ."
"If not , then this parting was well done .","If not , why then this parting was well made ."
"Forever and forever , farewell , Brutus !","Forever and forever farewell , Brutus ."
"If we meet again , then we'll smile indeed .","If we do meet again , we'll smile indeed ."
"If not , it's true , this parting was well done .","If not , 'tis true this parting was well made ."
"Well , lead on .","Why then , lead on ."
"Oh , I wish I could know what will happen today before it happens !","Oh , that a man might know The end of this day's business ere it come !"
"But it's enough to know that the day will end , and then the end will be known .","But it sufficeth that the day will end , And then the end is known. , Come , ho !"
Let's go !,Away !
"Ride , ride , Messala , ride , and give these dispatches to our forces on the other side .","Ride , ride , Messala , ride , and give these bills Unto the legions on the other side ."
