,input,target
9382,Banquo and Macbeth are all hail!,"Banquo and Macbeth , all hail !"
9383,Stay and tell me more about your imperfect speakers.,"Stay , you imperfect speakers , tell me more ."
9384,"You owe this strange intelligence, or why you stopped our way with this prophetic greeting.","Say from whence You owe this strange intelligence , or why Upon this blasted heath you stop our way With such prophetic greeting ."
9385,Speak and I will charge you.,"Speak , I charge you ."
9386,"The water has bubbles, as the earth has them.","The earth hath bubbles , as the water has , And these are of them ."
9387,Are they still alive?,Whither are they vanished ?
9388,Is it possible that they would have stayed.,Would they had stayed .
9389,Were such things here as we speak about?,Were such things here as we do speak about ?
9390,The reason for prisoner is that we have eaten on the insane root.,Or have we eaten on the insane root That takes the reason prisoner ?
9391,Your children are going to be kings.,Your children shall be kings .
9392,You are going to be king.,You shall be king .
9393,"Went it not so, thane of Cawdor as well.",And thane of Cawdor too : went it not so ?
9394,The tune and words are the same.,To the selfsame tune and words .
9395,Who is this person?,Who's here ?
9396,How does my wife do things?,How does my wife ?
9397,"Well, why, well.","Why , well ."
9398,And all my children.,And all my children ?
9399,It's also true.,Well too .
9400,How does it go?,How goes 't ?
9401,The time is now for help.,Now is the time of help .
9402,Gracious England has good Siward and ten thousand men. Christendom doesn't give out better soldiers.,Gracious England hath Lent us good Siward and ten thousand men ; An older and a better soldier none That Christendom gives out .
9403,Would I be able to answer this comfort with the same answer?,Would I could answer This comfort with the like .
9404,What are they worried about?,What concern they ?
9405,"If it's mine, keep it away from me.","If it be mine , Keep it not from me ."
9406,Allow me to have it immediately.,Quickly let me have it .
9407,I guess that's what it is.,I guess at it .
9408,Your castle is surprised and your wife and children are slaughtered.,"Your castle is surprised , your wife and babes Savagely slaughtered ."
9409,Heaven is Merciful!,Merciful heaven !
9410,My children as well?,My children too ?
9411,"All that could be found was the wife, children and servants.","Wife , children , servants , all that could be found ."
9412,I have to be from thence!,And I must be from thence !
9413,My wife also killed someone.,My wife killed too ?
9414,I have said that before.,I have said .
9415,"To cure this deadly grief, let's make ourselves med'cines of our great revenge.","Let's make us med'cines of our great revenge , To cure this deadly grief ."
9416,He does not have any children.,He has no children .
9417,Is that all my pretty ones?,All my pretty ones ?
9418,Did you say everything?,Did you say all ?
9419,It's O hell-kite.,O hell-kite !
9420,All of them?,All ?
9421,All my pretty chickens and their dam fell swooping.,"What , all my pretty chickens and their dam At one fell swoop ?"
9422,"If you dispute it like a man, you'll get a different result.",Dispute it like a man .
9423,"I can not remember, but those were the most precious things to me.",I can not but remember such things were That were most precious to me .
9424,I wonder if heaven looked on and would not take their part.,"Did heaven look on , And would not take their part ?"
9425,They were all struck for thee by Sinful Macduff.,"Sinful Macduff , They were all struck for thee !"
9426,"I amaught that I am, not for their own demerits, but for mine, and so I will slaughter them on their souls.","Naught that I am , Not for their own demerits , but for mine , Fell slaughter on their souls ."
9427,"Now rest them, they are gone.",Heaven rest them now .
9428,The whetstone of your sword should be this one.,Be this the whetstone of your sword .
9429,Let grief be converted to anger.,Let grief Convert to anger .
9430,I could braggart with my tongue and play the woman with mine eyes.,"Oh , I could play the woman with mine eyes And braggart with my tongue !"
9431,"But, gentle heavens, cut short all the music.","But , gentle heavens , Cut short all intermission ."
9432,Bring this fiend of Scotland and myself front to front.,Front to front Bring thou this fiend of Scotland and myself .
9433,"If he'scape', I set him within my sword's length, and Heaven forgive him as well.","Within my sword's length set him ; if he 'scape , Heaven forgive him too ."
9434,This is a tune that goes manly.,This tune goes manly .
9435,We should go to the king.,"Come , go we to the king ."
9436,"Our power is ready, our lack is nothing, but our leave.",Our power is ready ; Our lack is nothing but our leave .
9437,"The powers above put on their instruments, and that's why Macbeth is ripe for shaking.","Macbeth Is ripe for shaking , and the powers above Put on their instruments ."
9438,You may receive what you want.,Receive what cheer you may .
9439,I have been watching you for two nights and can't see any truth in your report.,I have two nights watched with you but can perceive no truth in your report .
9440,When did she last go for a stroll?,When was it she last walked ?
9441,"Since his majesty went into the field, I have seen her rise from her bed, throw her nightgown upon her, unlocked her closet, take forth paper, write upon it, and then seal it.","Since his majesty went into the field , I have seen her rise from her bed , throw her nightgown upon her , unlock her closet , take forth paper , fold it , write upon 't , read it , afterwards seal it , and again return to bed ; yet all this while in a most fast sleep ."
9442,Have you heard her say anything besides her walking and other actual performances?,"In this slumbery agitation , besides her walking and other actual performances , what , at any time , have you heard her say ?"
9443,"I will not report after her, sir.","That , sir , which I will not report after her ."
9444,Neither of you nor anyone else had any witnesses to confirm my speech.,"Neither to you nor any one , having no witness to confirm my speech ."
9445,"Here she comes, lo you.","Lo you , here she comes ."
9446,"Upon my life, this is her very guise, fast asleep.","This is her very guise ; and , upon my life , fast asleep ."
9447,Stand close to her and observe her.,"Observe her , stand close ."
9448,How come she was by that light?,How came she by that light ?
9449,Why did it stand by her?,"Why , it stood by her ."
9450,She can see light by her continually.,She has light by her continually .
9451,She commanded Tis her command.,Tis her command .
9452,You can see that her eyes are open.,You see her eyes are open .
9453,But their sense is shut.,"Ay , but their sense is shut ."
9454,What is it that she does now?,What is it she does now ?
9455,Look at the way she rubs her hands.,"Look , how she rubs her hands ."
9456,She has washed her hands before and it seems like she is washing her hands again.,It is an accustomed action with her to seem thus washing her hands .
9457,Yet here's a place.,Yet here's a spot .
9458,"Hark, Hark!",Hark !
9459,She says something.,She speaks .
9460,"To satisfy my remembrance more strongly, I will set down what comes from her.","I will set down what comes from her , to satisfy my remembrance the more strongly ."
9461,Do you have a mark on that?,Do you mark that ?
9462,The wife of the thane was from Fife.,The thane of Fife had a wife .
9463,"My lord, what will these hands be clean now that she's gone?","Where is she now ? , What , will these hands ne'er be clean ? , No more o ' that , my lord , no more o ' that ."
9464,You have made up your mind what you should not do.,You have known what you should not .
9465,I am certain that she has spoken what she should not.,"She has spoke what she should not , I am sure of that ."
9466,Heaven knows what she has been exposed to.,Heaven knows what she has known .
9467,The smell of the blood is still present.,Here's the smell of the blood still .
9468,The perfumes of Arabia will not make this little hand feel better.,All the perfumes of Arabia will not sweeten this little hand .
9469,"Oh, Oh, Oh!","Oh , Oh , Oh !"
9470,"There is a sigh, what a sigh!",What a sigh is there !
